x,y,v
0,0,0.4225
1,0,0.1506
2,0,0.1094
3,0,0.0789
4,0,0.0517
5,0,0.0694
6,0,0.0057
7,0,0.0233
8,0,0.0035
9,0,0.0107
10,0,0.0031
11,0,0.0711

0,1,0.0062
1,1,0.6849
2,1,0.2096
3,1,0.0276
4,1,0.0099
5,1,0.0127
6,1,0.0010
7,1,0.0050
8,1,0.0039
9,1,0.0042
10,1,0.0038
11,1,0.0312

0,2,0.0002
1,2,0.0028
2,2,0.8925
3,2,0.0187
4,2,0.0288
5,2,0.0501
6,2,0.0015
7,2,0.0039
8,2,0.0001
9,2,0.0001
10,2,0.0001
11,2,0.0011

0,3,0.0004
1,3,0.0008
2,3,0.0044
3,3,0.8819
4,3,0.0323
5,3,0.0450
6,3,0.0280
7,3,0.0003
8,3,0.0004
9,3,0.0006
10,3,0.0013
11,3,0.0047

0,4,0.0001
1,4,0.0003
2,4,0.0004
3,4,0.0076
4,4,0.8411
5,4,0.1194
6,4,0.0253
7,4,0.0027
8,4,0.0002
9,4,0.0002
10,4,0.0001
11,4,0.0026

0,5,0.0002
1,5,0.0002
2,5,0.0004
3,5,0.0022
4,5,0.0260
5,5,0.6811
6,5,0.2359
7,5,0.0029
8,5,0.0003
9,5,0.0008
10,5,0.0006
11,5,0.0494

0,6,0.0000
1,6,0.0000
2,6,0.0001
3,6,0.0006
4,6,0.0045
5,6,0.0763
6,6,0.8985
7,6,0.0115
8,6,0.0009
9,6,0.0004
10,6,0.0003
11,6,0.0068

0,7,0.0007
1,7,0.0005
2,7,0.0012
3,7,0.0006
4,7,0.0050
5,7,0.0114
6,7,0.0088
7,7,0.9387
8,7,0.0093
9,7,0.0050
10,7,0.0017
11,7,0.0170

0,8,0.0000
1,8,0.0001
2,8,0.0001
3,8,0.0011
4,8,0.0010
5,8,0.0103
6,8,0.0695
7,8,0.0418
8,8,0.8518
9,8,0.0083
10,8,0.0008
11,8,0.0151

0,9,0.0004
1,9,0.0019
2,9,0.0032
3,9,0.0008
4,9,0.0101
5,9,0.0112
6,9,0.0056
7,9,0.1044
8,9,0.0646
9,9,0.6772
10,9,0.0143
11,9,0.1063

0,10,0.0002
1,10,0.0049
2,10,0.0026
3,10,0.0029
4,10,0.0077
5,10,0.0596
6,10,0.0088
7,10,0.0076
8,10,0.0479
9,10,0.0524
10,10,0.0251
11,10,0.7801

0,11,0.0007
1,11,0.0039
2,11,0.0020
3,11,0.0013
4,11,0.0046
5,11,0.0104
6,11,0.0042
7,11,0.0622
8,11,0.0190
9,11,0.3861
10,11,0.2773
11,11,0.2284

0,12,0.0007
1,12,0.0047
2,12,0.0087
3,12,0.0008
4,12,0.0022
5,12,0.0062
6,12,0.0040
7,12,0.0111
8,12,0.0221
9,12,0.1538
10,12,0.4162
11,12,0.3695

0,13,0.0008
1,13,0.0062
2,13,0.0027
3,13,0.0006
4,13,0.0025
5,13,0.0020
6,13,0.0017
7,13,0.0029
8,13,0.0062
9,13,0.0325
10,13,0.3545
11,13,0.5875

0,14,0.0021
1,14,0.0135
2,14,0.0096
3,14,0.0004
4,14,0.0141
5,14,0.0064
6,14,0.0044
7,14,0.0251
8,14,0.0064
9,14,0.0704
10,14,0.1113
11,14,0.7362
